"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","4.03225805628627","1.0739664082683","3.64304545817705","3.12186849610725","3.99162804604574","5.83668775158167","5.55555555555578","3.87337536996479","5.21555996035711","6.3110797127044","3.36139107320895","3.22528797213981","2.99994809778412","1.8694885361554","2.28037198258753","4.04402131190516","2.8836043031626","3.31556866749282","3.65613653939262","2.52941532735389","3.39827548863246","3.60772494072818","5.39162036843645","8.95722105296535","-2.13630037272305","2.07773902027782","4.31633194082721","0.627927921638161","-2.37226328015073","0.421637771012246","0.47506661052393","-0.886758352362135","-0.481314508082782","3.5803942831909",
"Afghanistan","AFG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6862687216715","6.78459655001657","8.68057078513406","26.4186641547444","-6.81116108898995","2.1785375238942","11.8041858089129","6.44121280934118","7.38577178397857","4.67399603536339","-0.661709164713696","4.38389195513914","4.9759515055383","",
"Angola","AGO","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.7837837837838","299.509803921569","1378.52760736196","949.792531120332","2666.45059288538","4145.10598220638","219.176721172974","107.284821528298","248.195902412868","324.996871601321","152.561022469299","108.897436089429","98.2241436573304","43.5421067519687","22.9535138513941","13.3052101780031","12.2514974459487","12.4758291326398","13.7302839288409","14.4696564932574","13.4824679218511","10.2779049218839","8.77781429332619","7.28038730361125","10.278046066107","32.3777340696378","31.6916861406481","20.1903737898382",
"Albania","ALB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226.005421253526","85.0047512387157","22.5650526933696","7.79321853789213","12.7254778087103","33.1802743753956","20.6428588670596","0.389437653561606","0.0500181363468431","3.10758827031435","7.77052583431549","0.484002611818483","2.28001916938101","2.36658195679796","2.37072831904285","2.93268248162318","3.36313757366391","2.23139683475865","3.61538461538463","3.44283593170005","2.03642235579081","1.92544399507649","1.61304235314414","1.91001697792868","1.27512528113289","1.99392810482024","2.02079042583029",
"Andorra","AND","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","8.26666666600004","15.5282817502668","9.66969548151244","10.3174158877413","11.989283322105","9.71603274954342","","9.62605664613179","10.7585034160145","8.33125575581155","5.49366551432091","8.11639795517099","7.25436179981636","7.43333333333314","4.2224166624075","5.9115449637349","7.74088603961338","8.45146240803884","9.00000000000004","9.35975158953137","9.37034415971456","5.11259890444316","6.5437906852417","4.68130623916412","3.60116103260949","3.41731948975798","2.669373690537","1.85379035325276","1.77220437351017","1.8329938900205","2.71259247474352","3.63228004956625","3.49368534619531","3.54498591605032","4.965976545533","10.4717193410072","2.79551283550411","3.91106195534027","4.75316388885632","4.61184432206646","3.23423783752364","2.77261158414198","1.61018520758248","1.84439095575513","1.78301808576488","3.06735996058355",
"United Arab Emirates","ARE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2504202448139","1.55980098148558","0.879216764156813","0.877346595685083","0.662268900269082","1.10111836375706","2.34626865671643","4.06996608361598","1.61592503870255","1.96887556815799","3.0681470568773",
"Argentina","ARG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3373.75944336293","175.951325534583","18.681185640036","13.960764121791","8.6724863238516","0.648245760470397","-0.790883768934766","3.14590464685019","1.06004929341667","4.72155336605342","6.96126135875792","0.638928002410126","2.89235662459002","4.40736089644519","8.94995335353386","3.40676682683799","8.17636138473956","7.6500080785929","2.55802007757907","5.78966778544654","2.98130868933673","3.73169119261695","-1.40360755900906","0.969553268816231","2.52023382001631",
"American Samoa","ASM","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12128789571146","0.771779796900181","1.40279663573983","2.40765801293492","1.99353055152452","2.03007757853238","2.09875196709308","1.78778537419116","1.41605259409743","5.33380639820232","-0.550159995508869","3.3700254022015","3.45674967234599","3.37688044338879","1.05949782356168","1.08944157435363","0.968993458825572","-0.489437796230552","2.4324878904137","",
