Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated crime in Delaware

,,National or state crime,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1960,     446292,         375,          33,          41,,         157,         144,       9267,       2661,       5867,         739,          84.0,           7.4,           9.2,,          35.2,          32.3,       2076.4,         596.2,       1314.6,         165.6 
1961,     458000,         318,          20,          27,,         124,         147,       9343,       2711,       5885,         747,          69.4,           4.4,           5.9,,          27.1,          32.1,       2040.0,         591.9,       1284.9,         163.1 
1962,     469000,         338,          20,          44,,         140,         134,      10157,       2814,       6479,         864,          72.1,           4.3,           9.4,,          29.9,          28.6,       2165.7,         600.0,       1381.4,         184.2 
1963,     476000,         424,          24,          43,,         181,         176,      10892,       3366,       6559,         967,          89.1,           5.0,           9.0,,          38.0,          37.0,       2288.2,         707.1,       1377.9,         203.2 
1964,     491000,         541,          23,          40,,         203,         275,      11801,       3313,       7211,       1277,         110.2,           4.7,           8.1,,          41.3,          56.0,       2403.5,         674.7,       1468.6,         260.1 
1965,     505000,         561,          29,          33,,         286,         213,      11603,       3272,       7062,       1269,         111.1,           5.7,           6.5,,          56.6,          42.2,       2297.6,         647.9,       1398.4,         251.3 
1966,     512000,         655,          46,          49,,         300,         260,      12758,       3903,       7469,       1386,         127.9,           9.0,           9.6,,          58.6,          50.8,       2491.8,         762.3,       1458.8,         270.7 
1967,     524000,         948,          45,          60,,         343,         500,      14204,       4360,       7861,       1983,         180.9,           8.6,          11.5,,          65.5,          95.4,       2710.7,         832.1,       1500.2,         378.4 
1968,     534000,       1288,          45,          75,,         561,         607,      15616,       4726,       8647,       2243,         241.2,           8.4,          14.0,,         105.1,         113.7,       2924.3,         885.0,       1619.3,         420.0 
1969,     540000,       1588,          43,          74,,         635,         836,      17321,       4737,      10043,       2541,         294.1,           8.0,          13.7,,         117.6,         154.8,       3207.6,         877.2,       1859.8,         470.6 
1970,     548104,       1795,          42,         102,,         578,       1073,      21571,       5789,      12718,       3064,         327.5,           7.7,          18.6,,         105.5,         195.8,       3935.6,       1056.2,       2320.4,         559.0 
1971,     558000,       2060,          34,         102,,         804,       1120,      25924,       7759,      14902,       3263,         369.2,           6.1,          18.3,,         144.1,         200.7,       4645.9,       1390.5,       2670.6,         584.8 
1972,     565000,       2181,          39,          80,,         735,       1327,      23378,       7059,      13544,       2775,         386.0,           6.9,          14.2,,         130.1,         234.9,       4137.7,       1249.4,       2397.2,         491.2 
1973,     576000,       2016,          34,          91,,         520,       1371,      24380,       7024,      14552,       2804,         350.0,           5.9,          15.8,,          90.3,         238.0,       4232.6,       1219.4,       2526.4,         486.8 
1974,     573000,       2539,          59,          99,,         733,       1648,      31552,       8697,      19825,       3030,         443.1,          10.3,          17.3,,         127.9,         287.6,       5506.5,       1517.8,       3459.9,         528.8 
1975,     579000,       2270,          42,         105,,         910,       1213,      36339,      10574,      22737,       3028,         392.1,           7.3,          18.1,,         157.2,         209.5,       6276.2,       1826.3,       3926.9,         523.0 
1976,     582000,       1872,          36,         103,,         749,         984,      34587,       8978,      22790,       2819,         321.6,           6.2,          17.7,,         128.7,         169.1,       5942.8,       1542.6,       3915.8,         484.4 
